start_date,training_month,training_year,duration_seconds,training_duration_minutes,region,knowledge_before,knowledge_after,knowledge_improvement,would_take_another_course,would_recommend,had_tech_issues,avg_content_satisfaction,avg_tech_satisfaction,avg_improvement_rating,final_comments,provided_comments
2024-11-08 16:37:20,2024-11,2024,86,1.4333333333333333,Southern Illinois,Somewhat bad,Extremely good,3,Yes,1,0,5.0,5.0,5.0,Easy to follow along with the training guides provided. ,1
2024-11-11 12:30:59,2024-11,2024,94,1.5666666666666667,Southern Illinois,Neither good nor bad,Neither good nor bad,0,Yes,1,0,3.3333333333333335,4.0,3.25,,0
2024-11-12 14:59:38,2024-11,2024,29,0.48333333333333334,Central Illinois,Neither good nor bad,Neither good nor bad,0,No (Please Explain),0,0,2.8333333333333335,3.6666666666666665,3.0,,0
2024-11-15 15:04:58,2024-11,2024,51,0.85,Southern Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,4.0,3.3333333333333335,4.0,,0
2024-11-18 12:25:38,2024-11,2024,164,2.7333333333333334,Central Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,3.3333333333333335,4.333333333333333,4.25,,0
2024-11-18 16:53:19,2024-11,2024,62,1.0333333333333334,Central Illinois,Neither good nor bad,Neither good nor bad,0,Yes,1,0,3.0,3.3333333333333335,3.0,,0
2024-11-19 12:12:25,2024-11,2024,91,1.5166666666666666,Central Illinois,Extremely bad,Somewhat good,3,Yes,1,0,3.6666666666666665,4.0,4.0,,0
2024-11-19 14:53:56,2024-11,2024,55,0.9166666666666666,Northern Illinois,Somewhat bad,Neither good nor bad,1,Yes,1,0,3.5,4.666666666666667,4.0,,0
2024-11-19 16:51:23,2024-11,2024,63,1.05,Central Illinois,Extremely good,Extremely good,0,Yes,1,0,5.0,5.0,5.0,,0
2024-11-19 17:06:33,2024-11,2024,98,1.6333333333333333,Northern Illinois,Extremely bad,Neither good nor bad,2,Yes,1,0,4.166666666666667,5.0,3.0,,0
2024-11-19 21:34:28,2024-11,2024,31,0.5166666666666667,Central Illinois,Somewhat bad,Extremely good,3,Yes,1,0,4.166666666666667,4.333333333333333,4.25,,0
2024-11-19 21:54:24,2024-11,2024,81,1.35,Central Illinois,Somewhat bad,Somewhat good,2,Yes,1,0,4.0,4.0,4.0,,0
2024-11-19 21:56:38,2024-11,2024,68,1.1333333333333333,Central Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,4.166666666666667,5.0,4.0,,0
2024-11-20 00:36:47,2024-11,2024,69,1.15,Northern Illinois,Somewhat bad,Somewhat good,2,Yes,1,0,4.5,5.0,5.0,,0
2024-11-20 15:38:44,2024-11,2024,147,2.45,Southern Illinois,Extremely good,Extremely good,0,Yes,1,0,4.666666666666667,5.0,4.75,"It was good to review what I've been doing, and to see how a bulk upload works.",1
2024-11-21 11:20:47,2024-11,2024,180,3.0,Northern Illinois,Somewhat good,Somewhat good,0,No (Please Explain),0,0,4.0,3.6666666666666665,4.0,,0
2024-11-29 10:29:48,2024-11,2024,99,1.65,Central Illinois,Extremely bad,Somewhat good,3,Yes,1,1,4.0,4.0,4.75,,0
2025-02-10 17:30:09,2025-02,2025,160,2.6666666666666665,Central Illinois,Somewhat good,Extremely good,1,Yes,1,0,5.0,5.0,5.0,,0
2025-02-12 13:45:40,2025-02,2025,67,1.1166666666666667,Southern Illinois,Neither good nor bad,Neither good nor bad,0,Yes,1,0,4.666666666666667,5.0,3.0,,0
2025-02-12 16:20:33,2025-02,2025,56,0.9333333333333333,Central Illinois,Neither good nor bad,Neither good nor bad,0,Yes,1,0,3.0,3.0,3.0,done ,1
2025-02-13 17:10:09,2025-02,2025,181,3.0166666666666666,Central Illinois,Somewhat bad,Somewhat good,2,Yes,1,0,4.5,4.0,4.5,,0
2025-02-14 16:16:42,2025-02,2025,95,1.5833333333333333,Central Illinois,Somewhat bad,Neither good nor bad,1,No (Please Explain),0,0,2.8333333333333335,3.6666666666666665,2.75,,0
2025-02-17 11:54:13,2025-02,2025,105,1.75,Central Illinois,Extremely bad,Somewhat good,3,Yes,1,0,4.5,5.0,5.0,,0
2025-02-17 18:11:32,2025-02,2025,238,3.966666666666667,Central Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,5.0,5.0,5.0,,0
2025-02-18 16:07:35,2025-02,2025,82,1.3666666666666667,Southern Illinois,Neither good nor bad,Extremely good,2,Yes,1,0,5.0,5.0,5.0,,0
2025-02-19 10:02:51,2025-02,2025,29,0.48333333333333334,Central Illinois,Somewhat good,Somewhat good,0,Yes,1,0,4.0,4.0,4.0,,0
2025-02-20 10:14:15,2025-02,2025,139,2.316666666666667,Southern Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,3.5,4.0,4.0,,0
2025-02-21 11:48:08,2025-02,2025,62,1.0333333333333334,Southern Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,4.666666666666667,5.0,4.0,,0
2025-02-21 18:40:03,2025-02,2025,87,1.45,Central Illinois,Extremely good,Neither good nor bad,-2,Yes,1,0,1.0,1.0,1.0,,0
2025-02-24 23:08:44,2025-02,2025,85,1.4166666666666667,Central Illinois,Somewhat bad,Somewhat good,2,Yes,1,0,4.666666666666667,4.666666666666667,4.5,,0
2025-02-25 16:23:56,2025-02,2025,92,1.5333333333333334,Central Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,4.0,4.0,4.0,,0
2025-02-27 09:46:48,2025-02,2025,263,4.383333333333334,Central Illinois,Neither good nor bad,Somewhat good,1,Yes,1,0,4.0,4.0,3.5,,0
2025-04-14 17:05:15,2025-04,2025,73,1.2166666666666666,Northern Illinois,Extremely bad,Somewhat good,3,Yes,1,0,4.4,4.333333333333333,3.75,,0
2025-05-16 12:24:33,2025-05,2025,47,0.7833333333333333,Central Illinois,Neither good nor bad,Extremely good,2,Yes,1,0,4.666666666666667,4.666666666666667,4.75,,0
2025-05-20 17:34:39,2025-05,2025,202,3.3666666666666667,Central Illinois,Somewhat bad,Somewhat good,2,No (Please Explain),0,1,3.8333333333333335,3.0,4.0,informative,1
2025-05-22 15:15:52,2025-05,2025,252,4.2,Central Illinois,Neither good nor bad,Somewhat good,1,No (Please Explain),0,0,4.166666666666667,4.0,5.0,The navigation from module to module needs to be more user friendly.  It took a couple of tries to figure out where to go.  Good navigation is a time saver; this was not like that at all.,1
2025-05-22 17:19:57,2025-05,2025,80,1.3333333333333333,Central Illinois,Neither good nor bad,Extremely good,2,Yes,1,0,5.0,5.0,5.0,,0
2025-06-03 10:43:13,2025-06,2025,82,1.3666666666666667,Southern Illinois,Extremely bad,Somewhat good,3,Yes,1,0,3.8333333333333335,5.0,4.0,,0
